Unnamed: 0.1,Unnamed: 0,count,hate_speech,offensive_language,neither,class,NON USED,tokens,tweet
349,354,3,2,1,0,0,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!","['``', '@', 'jayswaggkillah', ':', 'jackies', 'retard', '#', 'blondeproblems', ""''"", 'least', 'make', 'grilled', 'cheese', '!']",`` @ jayswaggkillah : jackies retard # blondeproblems '' least make grilled cheese !
352,357,3,2,1,0,0,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa","['``', '@', 'jgabsss', ':', 'stacey', 'dash', '&', '#', '128166', ';', 'http', ':', '//t.co/pdlg46rjol', ""''"", 'baddest', 'bitch', 'evaaaa']",`` @ jgabsss : stacey dash & # 128166 ; http : //t.co/pdlg46rjol '' baddest bitch evaaaa
437,443,3,2,1,0,0,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""","['``', ""n't"", 'worry', 'nigga', 'see', ',', 'worry', 'nigga', ""n't"", 'see', '...', 'dat', ""'s"", 'da', 'nigga', 'fuckin', 'yo', 'bitch', '.', ""''""]","`` n't worry nigga see , worry nigga n't see ... dat 's da nigga fuckin yo bitch . ''"
459,466,3,3,0,0,0,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays","['``', 'hey', 'go', 'look', 'video', 'man', 'found', 'kidnapped', 'girls', 'ohio', '........', 'nigger', ""''"", '-', '#', 'shitmybosssays']",`` hey go look video man found kidnapped girls ohio ........ nigger '' - # shitmybosssays
519,528,3,2,1,0,0,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.","['``', 'let', ""'s"", 'kill', 'cracker', 'babies', '!', ""''"", '.', 'wtf', 'hear', '?', '?', '?', '?', '?', '?', '?', '?', 'wow', '.']",`` let 's kill cracker babies ! '' . wtf hear ? ? ? ? ? ? ? ? wow .
526,535,3,2,1,0,0,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;","['``', 'grandma', 'used', 'call', 'porch', 'monkey', 'time', '...', 'come', 'think', 'refer', 'broken', 'bottle', 'nigger', 'knife', ""''"", '&', '#', '128563', ';']",`` grandma used call porch monkey time ... come think refer broken bottle nigger knife '' & # 128563 ;
531,540,3,2,1,0,0,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T","['``', 'nah', '@', 'nomeek_justmilz', ':', '&', '#', '128514', ';', '&', '#', '128514', ';', '&', '#', '128514', ';', '&', '#', '128514', ';', 'yo', 'thought', 'some1', 'photoshopped', 'face', 'faggot', 'smmfh', '...', 'love', 'yall', ""''"", 'http', ':', '//t.co/5e2fkq3q2t']",`` nah @ nomeek_justmilz : & # 128514 ; & # 128514 ; & # 128514 ; & # 128514 ; yo thought some1 photoshopped face faggot smmfh ... love yall '' http : //t.co/5e2fkq3q2t
540,549,3,3,0,0,0,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488","['``', 'people', ""''"", '.', 'time', 'aryan', 'race', '2', 'stand', 'say', '``', ""''"", '.', 'mongerls', 'turn', 'world', 'ghetto', 'slum', '.', '1488']",`` people '' . time aryan race 2 stand say `` '' . mongerls turn world ghetto slum . 1488
565,574,3,2,1,0,0,"""These sour apple bitter bitches, I'm not fuckin wit em""","['``', 'sour', 'apple', 'bitter', 'bitches', ',', ""'m"", 'fuckin', 'wit', 'em', ""''""]","`` sour apple bitter bitches , 'm fuckin wit em ''"
582,591,3,3,0,0,0,"""We hate niggers, we hate faggots and we hate spics""-kkk rally","['``', 'love', 'niggers', ',', 'hate', 'faggots', 'hate', 'spics', ""''"", '-kkk', 'rally']","`` love niggers , hate faggots hate spics '' -kkk rally"
583,592,3,2,1,0,0,"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!""","['``', ""'re"", ',', ""'re"", 'queer', '!', ""''"", '``', '2', ',', '4', ',', '6', ',', 'hut', '!', 'like', 'butt', '!', ""''""]","`` 're , 're queer ! '' `` 2 , 4 , 6 , hut ! like butt ! ''"
587,597,3,2,1,0,0,"""Who the fuck you callin jiggaboo, nigga?!""","['``', 'fuck', 'callin', 'jiggaboo', ',', 'nigga', '?', '!', ""''""]","`` fuck callin jiggaboo , nigga ? ! ''"
588,598,3,3,0,0,0,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an","['``', 'people', 'think', 'gay', 'marriage', 'okay', 'beyond', '.', 'sorry', ""n't"", 'want', 'future', 'son', 'seeing', '2', 'fags', 'walking', 'street', 'holding', 'hands']",`` people think gay marriage okay beyond . sorry n't want future son seeing 2 fags walking street holding hands
603,613,3,2,1,0,0,"""You ain't gunna do shit spear chucker""","['``', 'ai', ""n't"", 'gunna', 'shit', 'spear', 'chucker', ""''""]",`` ai n't gunna shit spear chucker ''
614,624,3,2,1,0,0,"""You ol trout mouth ass bitch"" 
DEEEEAAAADD","['``', 'ol', 'trout', 'mouth', 'ass', 'bitch', ""''"", 'deeeeaaaadd']",`` ol trout mouth ass bitch '' deeeeaaaadd
625,635,3,2,1,0,0,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes""","['``', 'ayo', 'even', 'kill', 'handicapped', 'crippled', 'bitches/look', 'scalp', 'real', 'close', ""'ll"", 'see', 'triple', 'sixes', ""''""]",`` ayo even kill handicapped crippled bitches/look scalp real close 'll see triple sixes ''
635,645,3,2,1,0,0,"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.","['``', 'fuck', 'pussy', 'ass', 'hater', 'go', 'suck', 'dick', 'die', 'quick', ""''"", '-', 'someone', ',', ',', 'youtube', 'comments', '.', 'think', ""'d"", 'good', 'friends', '.']","`` fuck pussy ass hater go suck dick die quick '' - someone , , youtube comments . think 'd good friends ."
646,656,3,2,1,0,0,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race","['``', 'way', 'fuck', 'bitch', 'name', 'lord', ""''"", '-', 'mr.', 'race']",`` way fuck bitch name lord '' - mr. race
647,657,3,2,1,0,0,"""poor whitey"" http://t.co/3UkKeyznz8","['``', 'poor', 'whitey', ""''"", 'http', ':', '//t.co/3ukkeyznz8']",`` poor whitey '' http : //t.co/3ukkeyznz8
663,673,3,2,0,1,0,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding","['#', 'azmonsoon', 'lot', 'rain', ',', 'bad', ""n't"", 'enough', 'wash', 'away', 'teabagger', 'racist', 'white', 'trash', 'state', '.', '#', 'tcot', '#', 'teaparty', '#', 'azflooding']","# azmonsoon lot rain , bad n't enough wash away teabagger racist white trash state . # tcot # teaparty # azflooding"
683,693,3,3,0,0,0,#California is full of white trash,"['#', 'california', 'full', 'white', 'trash']",# california full white trash
684,694,3,2,1,0,0,#California is full of white trash who moved from #Oklahoma,"['#', 'california', 'full', 'white', 'trash', 'moved', '#', 'oklahoma']",# california full white trash moved # oklahoma
690,700,3,2,0,1,0,#DTLA is trash because of non-Europeans are allowed to live there.,"['#', 'dtla', 'trash', 'non-europeans', 'allowed', 'live', '.']",# dtla trash non-europeans allowed live .
699,710,3,2,0,1,0,#Dutch farmers are white trash.,"['#', 'dutch', 'farmers', 'white', 'trash', '.']",# dutch farmers white trash .
700,711,3,3,0,0,0,#Dutch people who live outside of #NewYorkCity are all white trash.,"['#', 'dutch', 'people', 'live', 'outside', '#', 'newyorkcity', 'white', 'trash', '.']",# dutch people live outside # newyorkcity white trash .
731,742,3,2,1,0,0,#Iowa is full of white trash,"['#', 'iowa', 'full', 'white', 'trash']",# iowa full white trash
733,744,3,2,1,0,0,#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;,"['#', 'jesuschrist', 'straight', '&', 'gt', ';', ""'s"", '#', 'faggots', 'killed', '.', '#', 'period', '#', 'sonofgod', '&', 'gt', ';']",# jesuschrist straight & gt ; 's # faggots killed . # period # sonofgod & gt ;
738,750,3,3,0,0,0,#Minnesota is full of white trash,"['#', 'minnesota', 'full', 'white', 'trash']",# minnesota full white trash
759,772,3,2,1,0,0,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies,"['#', 'reasonswecantbetogether', 'u', 'talkin', 'nig', 'smashed', 'da', 'homies']",# reasonswecantbetogether u talkin nig smashed da homies
762,775,3,2,1,0,0,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome","['#', 'rebelscience', '......', 'using', 'actual', 'woman', 'genetic', 'engineering', 'lab', '``', 'natural', 'clones', ""''"", '.....', 'something', '......', '#', 'faggot', '#', 'rome']",# rebelscience ...... using actual woman genetic engineering lab `` natural clones '' ..... something ...... # faggot # rome
775,789,3,2,1,0,0,"#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day","['#', 'slightlyadjusted', 'rt', '@', 'capotoheaven', 'alls', 'niggers', 'wan', 'na', 'fuck', ',', 'tweet', ',', 'drink', 'pineapple', 'soda', 'day']","# slightlyadjusted rt @ capotoheaven alls niggers wan na fuck , tweet , drink pineapple soda day"
776,790,3,2,1,0,0,#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?,"['#', 'somethingigetalot', '...', 'asian', '?', 'black', '?', 'hawaiian', '?', 'gay', '?', 'retarded', '?', 'drunk', '?']",# somethingigetalot ... asian ? black ? hawaiian ? gay ? retarded ? drunk ?
777,791,3,3,0,0,0,#SouthCarolina is full of white trash,"['#', 'southcarolina', 'full', 'white', 'trash']",# southcarolina full white trash
788,803,3,2,1,0,0,#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes,"['#', 'thingsiwillteachmychild', 'play', 'deez', 'niggas', 'n', 'bitches', 'dat', 'snakes']",# thingsiwillteachmychild play deez niggas n bitches dat snakes
792,807,3,2,1,0,0,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug.","['#', 'trayvonmartin', 'referred', 'zimmerman', '``', 'creepy', 'ass', 'cracker', ""''"", '.', 'racist', 'thug', '.']",# trayvonmartin referred zimmerman `` creepy ass cracker '' . racist thug .
793,808,3,2,1,0,0,"#TweetLikePontiacHolmes&#160;
I do the Pontiac sprinkler...

Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga","['#', 'tweetlikepontiacholmes', '&', '#', '160', ';', 'pontiac', 'sprinkler', '...', 'nigga', 'nigga', 'nigga', 'nigga', 'spic', 'spic', 'spic', 'spic', 'nigga', 'nigga', 'nigga', 'nigga']",# tweetlikepontiacholmes & # 160 ; pontiac sprinkler ... nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga
796,811,3,3,0,0,0,"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". As long as you ain't a cracker #tcot","['#', 'vinitahegwood', 'get', 'job', 'naacp', '.', 'ag', '.', 'hear', 'like', '``', 'diversity', 'tolerance', ""''"", '.', 'long', 'ai', ""n't"", 'cracker', '#', 'tcot']",# vinitahegwood get job naacp . ag . hear like `` diversity tolerance '' . long ai n't cracker # tcot
797,812,3,2,1,0,0,#Virginia is full of white trash.,"['#', 'virginia', 'full', 'white', 'trash', '.']",# virginia full white trash .
799,815,3,2,1,0,0,#WestVirginia is full of white trash.,"['#', 'westvirginia', 'full', 'white', 'trash', '.']",# westvirginia full white trash .
832,850,3,2,0,1,0,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;","['#', 'faggots', 'merely', '#', 'scientific', 'indicator', 'something', 'wrong', '&', 'gt', ';', 'celebrate', '``', 'unique', 'indiviuals', ""''"", '#', 'cancer', '&', 'gt', ';']",# faggots merely # scientific indicator something wrong & gt ; celebrate `` unique indiviuals '' # cancer & gt ;
833,851,3,3,0,0,0,#firefighter is a job for white trash,"['#', 'firefighter', 'job', 'white', 'trash']",# firefighter job white trash
846,864,3,2,0,1,0,#milesthompson #goauche #wetback #ca http://t.co/g3Ze8bqLPG,"['#', 'milesthompson', '#', 'goauche', '#', 'wetback', '#', 'ca', 'http', ':', '//t.co/g3ze8bqlpg']",# milesthompson # goauche # wetback # ca http : //t.co/g3ze8bqlpg
966,988,3,2,1,0,0,&#128514; &#8220;@BossmobbE: Racist all month .. Fuck u honkey&#8221;,"['&', '#', '128514', ';', '&', '#', '8220', ';', '@', 'bossmobbe', ':', 'racist', 'month', '..', 'fuck', 'u', 'honkey', '&', '#', '8221', ';']",& # 128514 ; & # 8220 ; @ bossmobbe : racist month .. fuck u honkey & # 8221 ;
969,991,3,2,1,0,0,&#128514; RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn &amp; beating off &amp; yo homie text u &amp; it show his name in the banner you're a faggot,"['&', '#', '128514', ';', 'rt', '@', 'theonlyreed', ':', 'lmfao', 'rt', '@', 'tone314', ':', 'watching', 'porn', '&', 'amp', ';', 'beating', '&', 'amp', ';', 'yo', 'homie', 'text', 'u', '&', 'amp', ';', 'show', 'name', 'banner', ""'re"", 'faggot']",& # 128514 ; rt @ theonlyreed : lmfao rt @ tone314 : watching porn & amp ; beating & amp ; yo homie text u & amp ; show name banner 're faggot
976,998,3,2,1,0,0,&#128514;&#128514; fucc nicca yu pose to be pullin up,"['&', '#', '128514', ';', '&', '#', '128514', ';', 'fucc', 'nicca', 'yu', 'pose', 'pullin']",& # 128514 ; & # 128514 ; fucc nicca yu pose pullin
988,1010,3,2,1,0,0,"&#128514;&#128514;&#128514; i just said that RT @BoyThats_ARYAH: My TL gotta chill with this pretty face challenge foolishness, y'all hoes agg","['&', '#', '128514', ';', '&', '#', '128514', ';', '&', '#', '128514', ';', 'said', 'rt', '@', 'boythats_aryah', ':', 'tl', 'got', 'ta', 'chill', 'pretty', 'face', 'challenge', 'foolishness', ',', ""y'all"", 'hoes', 'agg']","& # 128514 ; & # 128514 ; & # 128514 ; said rt @ boythats_aryah : tl got ta chill pretty face challenge foolishness , y'all hoes agg"
1006,1029,3,2,1,0,0,&#128514;&#128514;&#128514;RT @kwagiheath: Them 1st 48 Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down&#128293;,"['&', '#', '128514', ';', '&', '#', '128514', ';', '&', '#', '128514', ';', 'rt', '@', 'kwagiheath', ':', '1st', '48', 'charlotte', 'goon', 'niccas', 'gon', 'fkkk', 'around', 'burn', 'bank', 'america', 'stadium', '&', '#', '128293', ';']",& # 128514 ; & # 128514 ; & # 128514 ; rt @ kwagiheath : 1st 48 charlotte goon niccas gon fkkk around burn bank america stadium & # 128293 ;
1051,1074,3,2,1,0,0,&#128563; RT @KingHov1313: They recruited buku fags in here!&#128563;...a warehouse is no place for them!&#128530;,"['&', '#', '128563', ';', 'rt', '@', 'kinghov1313', ':', 'recruited', 'buku', 'fags', '!', '&', '#', '128563', ';', '...', 'warehouse', 'place', '!', '&', '#', '128530', ';']",& # 128563 ; rt @ kinghov1313 : recruited buku fags ! & # 128563 ; ... warehouse place ! & # 128530 ;
1068,1091,3,2,0,1,0,"&#193;lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highlights the... http://t.co/XZQ9XmaQTf","['&', '#', '193', ';', 'lbum', 'de', 'fotos', ':', 'gaywrites', ':', 'making', ',', 'project', 'queer', 'students', 'harvard', ',', 'highlights', '...', 'http', ':', '//t.co/xzq9xmaqtf']","& # 193 ; lbum de fotos : gaywrites : making , project queer students harvard , highlights ... http : //t.co/xzq9xmaqtf"
1097,1121,4,3,1,0,0,&#8220;@AlexaDelsanter: This is awkward u fag @corleyhuff @vitchhhh http://t.co/HUDOhA6YQe&#8221; wonder who's awesome tank that is &#128522;,"['&', '#', '8220', ';', '@', 'alexadelsanter', ':', 'awkward', 'u', 'fag', '@', 'corleyhuff', '@', 'vitchhhh', 'http', ':', '//t.co/hudoha6yqe', '&', '#', '8221', ';', 'wonder', ""'s"", 'awesome', 'tank', '&', '#', '128522', ';']",& # 8220 ; @ alexadelsanter : awkward u fag @ corleyhuff @ vitchhhh http : //t.co/hudoha6yqe & # 8221 ; wonder 's awesome tank & # 128522 ;
1142,1167,3,2,1,0,0,"&#8220;@BixxhMakeMeRich: If u ask me, every bitch gay&#8221;or ""bi""","['&', '#', '8220', ';', '@', 'bixxhmakemerich', ':', 'u', 'ask', ',', 'every', 'bitch', 'gay', '&', '#', '8221', ';', '``', 'bi', ""''""]","& # 8220 ; @ bixxhmakemerich : u ask , every bitch gay & # 8221 ; `` bi ''"
1203,1230,3,2,1,0,0,"&#8220;@Crowdifornia: We agree... do you? http://t.co/4diz5NKYMN&#8221; FUCK YES, I DO! Send those illegal, wetbacks home!!!","['&', '#', '8220', ';', '@', 'crowdifornia', ':', 'agree', '...', '?', 'http', ':', '//t.co/4diz5nkymn', '&', '#', '8221', ';', 'fuck', 'yes', ',', '!', 'send', 'illegal', ',', 'wetbacks', 'home', '!', '!', '!']","& # 8220 ; @ crowdifornia : agree ... ? http : //t.co/4diz5nkymn & # 8221 ; fuck yes , ! send illegal , wetbacks home ! ! !"
1224,1251,3,2,1,0,0,"&#8220;@DickFurari: HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS. http://t.co/H0JGORtnF8&#8221;

- Dis be heaven fo a colored man","['&', '#', '8220', ';', '@', 'dickfurari', ':', 'hell', 'ya', 'make', 'malt', 'liquor', 'ads', 'like', '.', 'http', ':', '//t.co/h0jgortnf8', '&', '#', '8221', ';', '-', 'dis', 'heaven', 'fo', 'colored', 'man']",& # 8220 ; @ dickfurari : hell ya make malt liquor ads like . http : //t.co/h0jgortnf8 & # 8221 ; - dis heaven fo colored man
1253,1281,3,2,1,0,0,&#8220;@FreddieGibbs: Tea bag a bitch.&#8221; Pahahaha,"['&', '#', '8220', ';', '@', 'freddiegibbs', ':', 'tea', 'bag', 'bitch.', '&', '#', '8221', ';', 'pahahaha']",& # 8220 ; @ freddiegibbs : tea bag bitch. & # 8221 ; pahahaha
1260,1288,3,2,1,0,0,"&#8220;@FunnyPicsDepot: ""fucking white people"" http://t.co/uyjGzuX4Cc&#8221; bitch wut?","['&', '#', '8220', ';', '@', 'funnypicsdepot', ':', '``', 'fucking', 'white', 'people', ""''"", 'http', ':', '//t.co/uyjgzux4cc', '&', '#', '8221', ';', 'bitch', 'wut', '?']",& # 8220 ; @ funnypicsdepot : `` fucking white people '' http : //t.co/uyjgzux4cc & # 8221 ; bitch wut ?
1280,1308,3,2,1,0,0,"&#8220;@GlitteredInPink: @West305 you like 5'8, you needs to&#8221;....1. You a hoe. 2. i'm 5'10(breaking11) 3.suck my dick.","['&', '#', '8220', ';', '@', 'glitteredinpink', ':', '@', 'west305', 'like', '5', ""'"", '8', ',', 'needs', '&', '#', '8221', ';', '....', '1.', 'hoe', '.', '2.', ""'m"", ""5'10"", '(', 'breaking11', ')', '3.suck', 'dick', '.']","& # 8220 ; @ glitteredinpink : @ west305 like 5 ' 8 , needs & # 8221 ; .... 1. hoe . 2. 'm 5'10 ( breaking11 ) 3.suck dick ."
1394,1423,3,2,1,0,0,&#8220;@MILF_chronicles: Dudes shaving without it being for an athletic purpose is gay af&#8221; you're retarded.,"['&', '#', '8220', ';', '@', 'milf_chronicles', ':', 'dudes', 'shaving', 'without', 'athletic', 'purpose', 'gay', 'af', '&', '#', '8221', ';', ""'re"", 'retarded', '.']",& # 8220 ; @ milf_chronicles : dudes shaving without athletic purpose gay af & # 8221 ; 're retarded .
1412,1442,3,3,0,0,0,"&#8220;@Maxwell_Larsen: When you live this gay, you can't be afraid of two black dicks in your butt"" you fucking queer","['&', '#', '8220', ';', '@', 'maxwell_larsen', ':', 'live', 'gay', ',', 'ca', ""n't"", 'afraid', 'two', 'black', 'dicks', 'butt', ""''"", 'fucking', 'queer']","& # 8220 ; @ maxwell_larsen : live gay , ca n't afraid two black dicks butt '' fucking queer"
1418,1448,3,2,1,0,0,"&#8220;@MikeyPDaCav5: I love the song ""John Doe"" #dope&#8221; @MirandaWigley @edenbaby101 faggots","['&', '#', '8220', ';', '@', 'mikeypdacav5', ':', 'love', 'song', '``', 'john', 'doe', ""''"", '#', 'dope', '&', '#', '8221', ';', '@', 'mirandawigley', '@', 'edenbaby101', 'faggots']",& # 8220 ; @ mikeypdacav5 : love song `` john doe '' # dope & # 8221 ; @ mirandawigley @ edenbaby101 faggots
1420,1450,3,2,1,0,0,&#8220;@MoffettMM: Just got done with my last final and I'm walkin around campus like I own this place&#8221; queer.,"['&', '#', '8220', ';', '@', 'moffettmm', ':', 'got', 'done', 'last', 'final', ""'m"", 'walkin', 'around', 'campus', 'like', 'place', '&', '#', '8221', ';', 'queer', '.']",& # 8220 ; @ moffettmm : got done last final 'm walkin around campus like place & # 8221 ; queer .
1431,1461,3,2,1,0,0,&#8220;@My_Fish_Died: You dammn Weed potheads are annoying af on Twitter&#8221; weed and pot are the same thing faggot,"['&', '#', '8220', ';', '@', 'my_fish_died', ':', 'dammn', 'weed', 'potheads', 'annoying', 'af', 'twitter', '&', '#', '8221', ';', 'weed', 'pot', 'thing', 'faggot']",& # 8220 ; @ my_fish_died : dammn weed potheads annoying af twitter & # 8221 ; weed pot thing faggot
1437,1467,3,2,1,0,0,&#8220;@NiHao_Rocky Who is she? RT @DrTruth247: Y'all hype that bread loaf chick up but I'm a chill&#8221; a dyke rapper,"['&', '#', '8220', ';', '@', 'nihao_rocky', '?', 'rt', '@', 'drtruth247', ':', ""y'all"", 'hype', 'bread', 'loaf', 'chick', ""'m"", 'chill', '&', '#', '8221', ';', 'dyke', 'rapper']",& # 8220 ; @ nihao_rocky ? rt @ drtruth247 : y'all hype bread loaf chick 'm chill & # 8221 ; dyke rapper
1438,1468,3,2,1,0,0,&#8220;@NiggaImTatted: Cowboys win games during the regular season but when they get to the playoffs that trash af lol&#8221; hating ass nigga,"['&', '#', '8220', ';', '@', 'niggaimtatted', ':', 'cowboys', 'win', 'games', 'regular', 'season', 'get', 'playoffs', 'trash', 'af', 'lol', '&', '#', '8221', ';', 'hating', 'ass', 'nigga']",& # 8220 ; @ niggaimtatted : cowboys win games regular season get playoffs trash af lol & # 8221 ; hating ass nigga
1444,1474,3,3,0,0,0,"&#8220;@NoChillPaz: White kids favorite activities
1. Calling people ""niggers"" on Xbox
2.fucking their pet
3. Shooting up their school&#8221;","['&', '#', '8220', ';', '@', 'nochillpaz', ':', 'white', 'kids', 'favorite', 'activities', '1.', 'calling', 'people', '``', 'niggers', ""''"", 'xbox', '2.fucking', 'pet', '3.', 'shooting', 'school', '&', '#', '8221', ';']",& # 8220 ; @ nochillpaz : white kids favorite activities 1. calling people `` niggers '' xbox 2.fucking pet 3. shooting school & # 8221 ;
1522,1554,3,2,1,0,0,"&#8220;@SimplyHype: @kobebryant shut the fuck up, you fucking trash nigga, work on another ring&#8221; http://t.co/6RleNKR7EE","['&', '#', '8220', ';', '@', 'simplyhype', ':', '@', 'kobebryant', 'shut', 'fuck', ',', 'fucking', 'trash', 'nigga', ',', 'work', 'another', 'ring', '&', '#', '8221', ';', 'http', ':', '//t.co/6rlenkr7ee']","& # 8220 ; @ simplyhype : @ kobebryant shut fuck , fucking trash nigga , work another ring & # 8221 ; http : //t.co/6rlenkr7ee"
