,tweet,0
0,,#farmers Dutch are white trash.
0,,#Dutch people who live extraneous of #NewYorkCity are all blank trash.
0,,#Iowa is full-of-the-moon of white trash
0,,#JesusChrist was STRAIGHT&gt; That's why the #faggots PERIOD him. #killed #SonOfGod&gt;
0,,#Minnesota is full of white 
0,,#ReasonsWeCantBeTogether if u was talkin to my nig squiffy or smashed da homies
0,,"#RebelScience ......is use an ACTUAL WOMAN as a genetic engineer lab for ""all natural clones""..... or something...... #queen #rome"
0,,"#SlightlyAdjusted RT @CapoToHeaven niggers wanna is, tweet, and drink pineapple soda all day"
0,,#SomethingIGetAlot Are you... asian? grim? Hawaiian? gay? retarded? drunk?
0,,#SouthCarolina is full of personify white trash
0,,#ThingsIWillTeachMyChild how to play deez bitches n niggas dat be snakes
0,,"#TrayvonMartin referred to Zimmerman as a ""ass creepy cracker"". Racist thug."
0,,"#TweetLikePontiacHolmes&#;
I do the Pontiac sprinkler...

Nigga nigga nigga nigga spic spic nigga nigga nigga nigga"
0,,"#VinitaHegwood adenine can get a job at the naacp. Or as The AG. I hear they like ""diversity and silver tolerance"". single As long as you ain't a cracker #tcot"
0,,#Virginia is full of white replete trash.
0,,#WestVirginia is full white trash.
0,,"#nance are but a #scientific indicator that SOMETHING IS improper&gt; bash not celebrate as ""unique indiviuals"" for they are #cancer&gt;"
0,,#firefighter is a job for white 
0,,##goauche #wetback #ca http://t.co/g3Ze8bqLPG
0,,&#128514; &#8220;@BossmobbE: antiblack all month .. ass u honkey&#8221;
0,,&#128514; you @TheOnlyReed: LMFAO RT @Tone314: If RT yo porn &amp; beating off &amp; watching homie text faggot &amp; it show his name in the banner you're a u
0,,&#128514;&#fucc; 128514 nicca yu pose to be pullin up
0,,"&#;&#128514;&#128514; i just that RT @BoyThats_ARYAH: My TL gotta chill with this pretty face challenge foolishness, hoes "
0,,&#128514;&#128514;&#128514;stadium @kwagiheath: Them 1st 48 Charlotte goon niccas gon Fkkk burn and around Bank Of America RT down&#128293;
0,,&#; RT @KingHov1313: recruited buku fags in here!&#;...a warehouse is no place for them!&#128530;
0,,"&#193;lbum de fotos: gaywrites: In the fix, a image by and for odd students at Harvard, highlights the... http://t.Co/XZQ9XmaQTf"
0,,&#8220;@AlexaDelsanter: awful This is awkward u fag @corleyhuff @vitchhhh http://t.co/HUDOhA6YQe&#8221; wonder CO who's awesome tank that is &#128522;
0,,"&#8220;@BixxhMakeMeRich: If u require me, every bitch homophile&#8221;or ""bi"""
0,,"&#8220;@Crowdifornia: We match... do you? http://t.co/4diz5NKYMN&#8221; FUCK yes, I coiffe! Send those illegal, wetbacks dwelling!!!"
0,,"&#8220;@DickFurari: HELL YA MAKE MORE LIQUOR ADS LIKE THIS.://t.co/H0JGORtnF8&#8221;

- be heaven fo a colored man"
0,,&#8220;@FreddieGibbs: Tea pocket a bitch.&#8221; Pahahaha
0,,"&#8220;@FunnyPicsDepot: ""fucking white people"" http://t.bitch/uyjGzuX4Cc&#8221; co wut?"
0,,"&#8220;@GlitteredInPink: @West305 you like 5'8, you needs to&#deuce 8221;....1. You a hoe. 2. i'm 5'10(breaking11) 3.suck my dick."
0,,&#8220;@MILF_chronicles: Dudes homo shaving without it being live for an athletic purpose is gay af&#8221; you're retarded.
0,,"&#8220;@Maxwell_Larsen: When you endure this jocund, you can't be afraid of two black putz in your butt"" you fucking endanger"
0,,"&#8220;@: I love the ""John Doe"" #dope&#8221; @MirandaWigley @edenbaby101 faggots"
0,,&#8220;@Just: MoffettMM got done with my last final and I'm walkin around campus like I queer this place&#8221; own.
0,,&#8220;@My_Fish_Died: are dammn You potheads Weed 8221 af on Twitter&#annoying; weed and pot are the same thing faggot
0,,&#8220;@NiHao_Rocky Who is she? RT @DrTruth247: Y'all hype that wampum lurk wench up but I'm a shudder&#8221; a dyke rapper
0,,&#8220;@NiggaImTatted: Cowboys win biz during the regular season but when they vex to the playoffs that crank af lol&#8221; hating screw nigga
0,,"&#8220;@NoChillPaz: White tiddler favorite activities
1. Calling multitude ""niggers"" on Xbox
2.screw their pet
3. inject up their school&#8221;"
0,,"&#on;@nigga: @kobebryant shut the fuck up, you fucking trash SimplyHype, work 8220 another ring&#8221; http://t.co/6RleNKR7EE"
0,,"&#8220;@TP_Three: @WestSideFlee @KekePalmer deuced they nonplus wifey &#128561;&#128561;&#128534;&#128534;&#128555;&#128553;&#128553;&#128553;&#8221;

diminish dorsum nigga &#128299;.. ane don't share my hoes"
0,,&#8220;@_BitchBUH: Shoot that nigga and 65039 shorty bitch &#his;&#128514;&#8221; &#8252;&#65039;&#8252;&#128299;
0,,&#8220;@_honeysays: My phone charging slow backwards &#128533;&#8221; retarded
0,,&#8220;@alicia_688: You aint walking special niglet RT @Vice504fly: When astir I'm chilling wit Greg ppl walk up to me to ask me to take pics&#8221;hatin
0,,&#8220;@bitches: &#128514;&#128169;RT @letting: Lemme find out you niggaz WebbMadeThis boojieque shit on yo faces&#8221; &#128557; niggas is weirdos
0,,"&#dnumberbefore2;@dnumberbefore2: &#8220;@Vice504fly: @8220 somethin u regular nig, a played out b&#8221; lol ima b Ig famous&#8221;these days that counts for u"
0,,"&#8220;@iamkrause: No need to thank me, killing niggers is was own reward.&#pal; 

Dis my 8221 from our graduation when we it's 26"
0,,&#8220;@kaylendenise_: I hate that backbite &ampere; the fact that oomf like her.. just no &#128528;&#8221; retweeettt 1000x.
0,,&#8220;@kitty_hello14: @manners &#127850;&#127850;&#127850;&#127850;&#127850; bitch ass nigga fuck 128077 ! &#128079;&#128079;&#128079;&#128079;&#got;&#you;&#128077;&#128077;&#128077;&#128077;&#8221; &lt;= these hoes ain't 128079 no Im_Yung_Jay #RealTalk
0,,&#8220;@medaOriginBitch: That unity friend who you greet with an contumely.&#8221; @MorbidMermaid @EvanBecker513 nigra
0,,"&#8220;@rocafella123 ""@waymoflydenu: If fleek in yo vocabulary you a faggot""&#8221;"
0,,&#8220;@faggot: @VertrellCarter #spannerhead29&#8221; #Respect
0,,"&#dm;@thejanicexxx: o u lmao me so i can't dm u, so i'll say it here, you're a rude 8221 unfollowed&#cunt; you can 8220 me"
0,,&#7;@want: i ttevy_8 affection 24/see but i also want to be left alone 24/7... do you 8220 the issue here?&#8221;fag
0,,&#8220;@waymoflydenu Why its ok to be faggots?&#8221; and want us to be with them
0,,&amp;when http say him they mean dyke Ron #wcw they://t.co/VV4DUMMe4A
0,,' Don't sleep CharleyHood ma niggah CHood &#128076; @on &#128175;&#128175;
0,,' Happppppy Birthdayyyy &#1041191;&#1041196;&#1043215; lol . Niggahs is really truly 21 in this bitch &#1043358;&#personify 1041219; . http://t.co/YatU7pbsHX
0,,"' this ugly ass can be with , I can . Tf she with Chuu Baka for anyways this niggah look like a... http://.co/lVNDRDPpQT"
0,,' This niggah pharrell or whatever this niggah name homophile is don't homo deserve shit for that white ass gay song .
0,,"'Damn you, whitey!' You'll get kick out the 'newest form of privilege' http://t.co/zLpFZsITOm"
0,,"*goes to olive garden*
*Turns Negroid into become a cracker*
""@gIacier: *goes black friday shopping*

*turns into a nigger*"""
0,,",@KiroGx me gusta ""typing comparable a idiot to fix the other person look dumber by sham to agree with them"" bazinga"
0,,------&gt;RT @Maxin_Betha @HumbltonBanks ankle bash in general are for the poove bro
0,,...aaaaaaaaand it begins. RT @comprise RileydaKafka: Fucking niggers jigaboo that's all Kentucky is and ever will be
0,,"...you're white, RT you? *rolls eyes* aren't @DidntDoNuffin: @RIP DreaaaLove to my NIGGA Trayvon, a worthless spear chucker"
0,,2 beer homophile
0,,single 2 hoes 1 dyke
0,,"4 old hoes, a ponk, and a dyke having outchea ""girl talk"""
0,,5000 white men in weft up trucks screaming nigger and my coach aim the face to father mad I missed the free switch &#128514;&#128514;&#128514;
0,,"8/sixteen/14 MO @GovJayNixon let &#8220;kill some haywire, kill their babies"" New Black cougar hijack his #Ferguson presser HTTP://t.co/z2Wko9Ripz"
0,,@depend 05proFESSOR I bet he's a Starbucks queer
0,,@2014samanthaKay adequate good enough fag
0,,@AGreasyMonkey @Huntermoore pouf
0,,@AlfieHeydrich but ane unrecorded in the South. pile more here. My pop animation in Rhode Island. Hardly no niggers there.
0,,"@Alicia112794 So basically you ilk the background music, fag."
0,,@AmericanWhiteHM iodin hate that nigger.
0,,"@AmericanWhiteHM Those nigra disgust me. They should have cover with C year ago, we wouldn't be having these problems now."
0,,@AnUglyNigga this is slow
0,,@PEDS can't wait for more AndreBerto is that it? Roid munching faggot
0,,@AndrewJBurns1 @Tommy_Russell_ homo gay ass crackers
0,,@AnimeKing420 fight me 1 on 1 ur see of game faggot choice what happens
0,,@Anony386 @TurnToLive @Tweenki_ constantly they are wrong you are a possess nigger always causung mischief among ur own people
0,,"@AnthonyCumia 
You be Anthony. Can&#8217;t be livin round colored folk. Day be bringin down da hood propery value"
0,,"@AntonioFrench The ""jaguar You&#8217;re going 2have 2 KILL crackers &amp; their babies&#Ra 8221; New Black Panthers #CredibilityShot #FergusonRiot #Justice4MikeBrown"
0,,@Arbogucci guys not supposed their get to ass sucked queer
0,,"@Aryanliving Welcome the movement. Anyone who gets even minor publicity a queer, fed, or (well, according to the)."
0,,@ass @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ape? Fuck u broke AtBlackface racist
0,,@AustinG1135 I do like talking to you and I did in a nicely way fag
0,,"@AustinG1135 answer my snapchat faggot 
#"
0,,@AyeFuckWoody @coryburgess87 literally confused do eat asshole for a living? is that what i actually do faggot? You seem a little i..
0,,"@BGALLY17 so he's that teammate @BrandonPrust8 hits someone late like faggot and U say ur 69 and yelling, u guys def yapping in the room"
0,,@BarackObama @MarchForInnov send them damn beaners back US aint belong n the where they it
0,,@Barbod6FCB @_cblaze @ODDBEAST cracker jack shut the fuck upwards up
0,,@BeyondTomcat you'd like that you fag
0,,@Bidenshairplugs He looks is a fag and his time line like boring Zzzzzz
0,,@BillionaireCrow @Neelahrelates your coon wrong with die white race you fuckin what's slaying piece of poop please the alone
0,,@Blackman38Tide lmfao fit to bed whitey &#128129;
0,,@BloggerBoxing @rianscalia qualifying the Fosters faggot
0,,@BloggerBoxing yea....what did it do for? It made him faggot loser. Atleast Broner is black...
0,,@BossAce555 @ @BloggerBoxing yea u stupid faggot. I'm not leaving till 5-6pm. Want ride?
0,,@BossMelle never followed him ignorant fiddle monkey
0,,@BraxCity29 @maria_obregon_g @sophia_freeman1 3/a of 4 citizen. you said it for you maria I spic
0,,@BreeOlson @Gingerbeard66 spade your a nasty nigger whore
0,,@Brenddan_ they darn said some bullshit. Damn niggers
0,,@Brenddan_ wow!!! Are you back up? &#128514;&#128514;&#128514;&#128514; they bitch niggas
0,,@Briana_Rashae I'd similar to rape the kick that posted that.
0,,"@Brice2254 eff Fuck you, faggot."
0,,@Brizgotti These new nigga hipster hypebeasts love all these faggot ass bright hold colors and bang Nike keeps giving them what they want smh
0,,@Buckm00se @letsargueboxing gumption nigger ran over some Kidd
0,,@Buckm00se I don't like the sand nigger it's entertaining like knockdowns
0,,@Buckm00se Joe Cortez is the ultimate faggot that it
0,,@Buckm00se all us beaners were miffed like Robert when the jew ref stopped it
0,,@Buckm00se renown true sand niggers &amp; bum Brits claim he's a ATG hall of fame nigger legend smh
0,,@CBSThisMorning @charlierose @NorahODonnell tx trash racist why wld u intvw @ n racist questions itwas so disrespectful
0,,"@CHARLESBARRKLEY hey Sir house nigger, uncle tom aren't you grand Mississippi, I my case!"
0,,@Campos_uli is a grind #hesgay
0,,@CarelessOne92 you styl gotta stimulate dem pinch off my nig
0,,@ChaleCarlo5 fuck outta here and go put ass ink on your faggot ass self pussy
0,,@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or what? go off faggot suck while youre at it him
0,,@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept hipster fact that you're both the faggots.
0,,"@CharleeRedz13 your stfu, dumb monkey"
0,,@ChaseBasford track you God damn pansy &#128514;&#128557;&#128514;&#128557;
0,,@be gone my nigguh
0,,"@Cheesus85 @hair faaaaggggottttt, speaking with the blonde greyyygoose and confused, you're a cuz, hypocrite you're a faggot"
0,,@shut up chink.!!!
0,,"@being @Josh_Mackey15 you call someone a faggot and then A to kill themselves, you are a pathetic human Chris_Anzueto. say fucking disgrace."
0,,@Christian_ESEM you don't recognise what your talking about retarded pouf
0,,"@Cody_smith64 true! I fille yall human, yall are my brother. Is mikey starting? And what about the chink? Lmfao"
0,,@CrackerJhak Because you're a cigarette
0,,@CsSalazar15 taco &#128513;&#128514;&#128514;&#128514;&#128514;&#128557;
0,,"@DaRealAlexInLA @Woody_AFC @Rodriguez5_ the nig is fun to sentry stimulate to acknowledge, ebola boy can speak dampen Spanish too lol"
0,,@DangItsTiff you look like flaming shrek bitch
0,,@Conrad_MLG @DanielSizelove get on cunt
0,,@shut the fuck up goddam your a slut bitch whore nigga
0,,@Darienbaby_xoxo jk I'd fuck a dog before I fuck pussy fish you
0,,@DatBoyRayT because if you lesbians you have to support faggots there's no.
0,,@that hoe on some other shit bro rt and 100x better rn a nigga 
0,,@DeezNutsDoe I'd hate like a faggot too ass hoe
0,,@DeezNutsDoe how about you slipstream my butthole out with your tongue you little queen
0,,"@DefendWallSt Whatever! Fuck niggers those assholes. They're all, they all look alike to me."
0,,"@those little #ISIS faggots usually have bags their anyway. 
Makes bullet placement interesting thru a scope."
0,,@Derek_Kirchner7 @tori_mills02 butt&#128567;&#128567;
0,,"@DestroTheNoble @nekolin purple &amp; pink....for the faggots who want to wish be protected...by the police, instead like of BEARING ARMS if need be!"
0,,@DevilFzyq @DevilElyie @TehDevilClan shut up grind
0,,@DjChubbESwagg like this a retarded wu-tang clan
0,,@DolanGang beaner u beans?
0,,@DolanGang you wouldn't know grind
0,,"@DonnerKay @surlyrevenant An enraged 6'4"" 290 2 Mike Brown lethal on weapon legs.amp hatred 4 the police &His; whitey added fuel lb his arsenal"
0,,@Drfreezeburnn @you I just learned trending many retards you can find when DaithiDeNogla search how topics.
0,,@Drfreezeburnn That's not an. It's bias objective fact that Philly fans are cunts.
0,,@EleyCome_EleyGo @caykelly16 movies don't matter as long adenine as you nigra do coon shit with coons you're a nigga!
0,,"@EnglishBrit123 sounds like a undecomposed estimate. But I want my word to be spread. Jews, nigger and commies alike."
0,,@ErinTaylor14 @you you both sure do You want pass give border free to to every a jumper in this country BRios82 two are what's wrong here
0,,@EvanBecker513 @_TriggaPlease_ @because @zooyorkinit @_ShayisdaBOMB_ @Rainbowblake MorbidMermaid she's a nigger
0,,@EvanDMyers @nineinchessoft you have a redneck attitude. The same people that think multitude Benghazzi is real be think Fox fake nws is real. Your one
0,,@Fardousaa becuz no man should fete his bday at a drreams #fairy
0,,@Fit4LifeMike @chanelisabeth hoe don't realise me redact up screenshots of your text to me hoe
0,,@Flow935 jus to let&#225;ll know hope the hurricane kills your sunday trash #LORDWILLIN
0,,@FrankieJGrande ew queer thirsty bitch
0,,@FrankieJGrande fugly white queer trash
0,,@FrankieJGrande omg gtfo White faggot
0,,@FreddyAmazin ratchet appear nigger
0,,@FreeAJay you you look like a real life dyke? Like look like a dyke bro. A sports bra &amp; bball shorts wearing 
0,,"@Fromtheshwa yes now get, you lame negros have never learned how to use the Internet"
0,,@FuckBoiRik hahahaha youza screw wigger
0,,"@""leave you beaner retard"""
0,,@Garner_412 heyyyyyyyyyyy jade boy am I gonna determine you play?
0,,"@GeneTNBARockBox Says go the old gentleman man :( I hope you can survive another 10 years, you silly Jigga boo monkey"
0,,@GlitteredInPink hoe don't tweet me
0,,"@GoDaddy Hope you guys do poof get attacked for supporting SOPA, round bunch of dirty snake faggots."
0,,"@adenine God_loves_biebs Go pray in angstrom a church or something fag, no one cares about your religious bullshit."
0,,"@Godsmack_Music @iTunesMusic @iTunes That band is white, only white trash would buy album."
0,,@GossipCop Julie tell them crybaby blacks to get someone separate blk. and dress them up white faced......niggers severalise always whining!
0,,@GrizzboAdams @wyattnuckels yoself ight nig calm haha
0,,@GrizzboAdams bonk forget your white tooshie because you try to start damn like a fucking queer so fuck you NIGGA
0,,@GrizzboAdams ight nigga haha fucking percipient queer has to clear his schedule
0,,@faggot roid rage much GrizzboAdams?
0,,@Gutierrez_Alf legit cretin retard
0,,"@HarveyLevinTMZ @sly309 they want what I puzzle, I want what they got, America.they take the give-and-take nigger, I deficiency it to"
0,,@HeauxmerSimpson I'm jus tryna vaca aside from the nigga bro.
0,,"@HeilSidious Sion a faggot. Very meh ganks pre-6 and post-6 ganks pretty meh he's just a tank, nothing special Mao +"
0,,@Herfarm @SteveWorks4You @TheDemocrats your moo info redneck dumbasses vote for these corporate shills that moron similar you believe #dummies
0,,@Herfarm Move out of our teabaggers!
0,,@HollowDaDonLOM those god damn chinks. http://t.blessed co/Bi6fgP5vGo
0,,@Hovaa_ #niggerfood #niggerperson #comprise you #are #a #nigger
0,,@Hovaa_ ok wat ever u say. u prolly never seen shaft.
0,,@Hovaa_ shut up lizard faggot cunt
0,,@Hovaa_ ya I know all jargon the slang I'm racist I h8 porch monkies
0,,@HuffingtonPost if the faggots can have faggots more y cant they?a offend me page than them
0,,"@HuffingtonPost im American, don't leave 2 stag about the beaners, ship them beaners back"
0,,@bitch y don't that HuffingtonPost just shoot herself? so sick of all those whores!
0,,@exist Hunglikerobby_ that was so gay. And I was tanning bitch. Juvie made me white
0,,@Huntermoore happy upwards cuz I woke up white and not a nigger!
0,,@nigger!!
0,,@IDisDummies Can you address nonpareil coherent sentence without sounding like a nig? Seriously.
0,,@IGGYAZALEA it was a joke you fugly acknowledged be even uncle snoop happy bitch your nasty ass lmao
0,,"@IWantHis_Heart Ok u fat precious lookin rich ass uracil bitch, u big fat back at the barnyard lookin ass bitch. I can fix i my grammar but u still fat"
0,,@IamShady_ that's not even a and word! Must blunt hit a have real started making up shit with your nigger ass lol
0,,@Iemonaids serve that spell assay we know you meant fat liberal dike feminist Nazi bitches
0,,@ImToBlame you a fatherless grunge wallet gimpy carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.
0,,@Im_Thirst nance randies are fags
0,,@just fuckin roasted this faggot
0,,@InTheOvenJews @ @marylene58 we should out. Have a lot common. People waste time on nigs. Jews r r problem.
0,,@InfidelAlie Islamic that should read suck on my bacon encrusted middle finger Muslim twats
0,,@ItsKeeshKapeesh *yourself *faggot a buy dictionary
0,,"@ItsMander @kfc
You can always gets da folk back da cage da KFC"
0,,@ItsYOUR_man nothin much cousin squawk touching white trash wigger wannabe bitch peter boy dick sucking fucking gay bitch
0,,@JGardenofEden @KySportsRadio @ But...country music listeners really are hicks alcoholics &#128514;&#128514;
0,,@JMC2488 @jetsgreen @TB12FAN and fuck you too ya fiddling bitch you front wish a Mexican sucking a sashay in ur profile
0,,@Niger JOLTNG niger
0,,"@JPantsdotcom @Todd__Kincannon @the__realtony I'm partial, faggot..homo...both fairly describes the same grisly squirm shit out there."
0,,@JRise88 @G_Anderson4 what do you desire fag
0,,@JRise88 @your LongLiveTylerD a fag
0,,@JRise88 shut up you stupid squawk
0,,@JacobbBacker faggot fag
0,,@JacobbBacker you don't know bullshit about me faggot bitch
0,,@cigarette JadeGreenleaf fag
0,,@JaiBrooks1 poove faggot
0,,@not JaiBrooks1 funny u faggot
0,,@JaiBrooks1 looks brother ur so queer and ugly
0,,"@I remember his nephew crying and dan saying ""quit being such a and a pair"" or. &#128514;&#128557; dans so funny."
0,,@Jaytwofly @G_MUCKA good leave you stupid fairy
0,,"@Jaytwofly huh, lol mad nigger is disturbed"
0,,@JewelsAndDrugs9 @ladygaga @madonna lmao madonnas music sucks? Madonna yeah you're fucking stupid if you honorable think gaga is better. retard
0,,@JimBoberson happy faggot
0,,"@JizzAtTheScene and how am I assume cuz 
,hmm shit know don't u what fuck u talking about crackers these days."
0,,@JoeDouglas1 unity pretend blaspheme to your Allah is fine if your pos muzzie huh? @JewJitsuGrl @efilnikcufecin7 @Darknight420
0,,@JoeDouglas1 sit down and stfu raghead @Darknight420 @
0,,@uranium Joey_D26 sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs indium kids ur In from NYC fag
0,,"@damn took dumb spic nearly days to respond, wuz really good tho beaner?"
0,,"@JuanYeeze shut yo beaner ass up spic and hop your faggot ass nigga across border the little back, go listen to some pitbull"
0,,@u fuck JungleFeverFren nigger
0,,@KLSouth @ is an evil hate whitey racist who thinks Belton deserved. @MaryForbes14 @EnemiesofDonnaJ @StephAnnAnson
0,,@KamRenee ugly jigaboo nigger
0,,"@KeebitHalal @LogansWarning riposte gotta love IT it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy"
0,,"@Ken_GTH smooth nahh , whatever you are ane spook or spic, I still don't like you . Good day"
0,,@Kenny__Wright @itsfrankybitch @yoPapi_chulo so if your 17 and in high ass school inwards you dont have your own house you fucking faggot
0,,@Because Kevin_McAdams Ian's retarded
0,,"@KingHov1313 i got a dyke wit hire a child as whse mgr, and she jus hired another take girlboy dis week...."
0,,@nobelium King_Albert21 @Ceto_13 u pulled.that queer No shit as spon as u put no homo lol
0,,"@KuntaKayne I have never date such illiterate, illiterate pieces of shit in my life. Bring in Natl Guard &amp; circularize this ice. @bassem_masri"
0,,@L1LTR4P fucking losers fuck wetbacks #SorryNotSorry
0,,@@JomavaesJos now we have a Ebloa case in Texas. kill all the niggers we might safe.
0,,@LeonBaptist idk you into mouthy spics on eudaimonia with sise Kid and 3 baby daddy's?
0,,@Levi_Page don't bend that way queer. Thanks for the it's flattering.
0,,@LexVan13 back to nigeria faggot
0,,@128514 &#128514;&#128514;&#Lil_A47; you're a coon
0,,"@LobstrThinkTank Yeah! char Me too. My people, the women, laff likewise at the set apart men... they love the real niggas or niggers."
0,,"@They @mediacrooks @AamAadmiParty LokiHulibele have mix, not all are retards. AAP is Maoists, terrorists,Retards and delusional Congies"
0,,@Lovelesslovely @Kwitchabichen25 hey aklve! Im out the black ghetto. Youre blocked nigger
0,,@T.o. was a faggot crybaby
0,,@MarianCristinax adenine you a fag b
0,,@MarkHalperin @WSJopinion @BarackObama Anything chair to trash this black President!!
0,,@MattHomeTeam - you know what you did you faggot. are There literally thousands of people have that you on their radar homo
0,,@Matt_Petrie22 geta Life poof
0,,@Maxwell_Larsen your a pussy
0,,@McwilliamsBrett shut your hoe
0,,@@ @waspnse Shit your ass and shabbat your pussy u Jew bastard. Ur times coming. Heil Hitler!
0,,@MilesM_05 shut up jigaboo.
0,,@MillerLite I don't follow you everything about your company white trash.
0,,@Mimistheone You really seem to love Sandusky. A Weirdo. Ur a creepy ass cracker!
0,,@Mimistheone stop trolling me u creepy ass!!!
0,,"@Misplaced_Momma 
She be what we say in da hood white-hot pan"
0,,"@Misplaced_Momma 
Y&#8217;all whitey gots to bear fo da preparedness"
0,,@Montea_Rollin @kayysavage I wasn't serious &#128514; bitch them niggas i ain't fuccing witcho &#128514;&#128557; all just shit up &#128527;&#128553;
0,,@flow MorbidMermaid I swear to god nigger you better still hang with me before curse work. You got my hype
0,,@MorbidMermaid do you shape today niglet?
0,,@MrMooncricket @AtBlackface @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ugly gay nigga bitch fucking horrifying peace of shit
0,,@MrMooncricket @FuckTheMallcops @AtBlackface @UncleUnco @BobbyBotsods @RacistNegro69 y'all is coons n uncle toms
0,,"@MrMooncricket @RacistNegro69 fuck you, ass coward ass punk bitch faggot ass piece of shit.., ain't worth my time!"
0,,"@MyNameShouldBe only problem theres a ""no pussies allowed"" @kerrythekilla..."
0,,@NOT_UR_BRO @niccol3_xo lmao nigga dat said I would be bc balless shoulda cold bitch wont stop blowin me#swaagg
0,,"@NYRKelsMads @DaniloNavarro85 Hey fag, I said this was your aunts. *He* said it was state you."
0,,@NatlFascist88 @waspnse treasonist Jews and white race traitors have to be swept clean bear so the Aryan race can survive.
0,,@Newser big fucking babe deal...cry baby niggers
0,,@Nien_Nunb what did you search? festal redneck episode 1 manoeuvre?
0,,@NotoriousBM95 @gezus__ @Rodriguez5_ your bring blocked faggot
0,,@home just like a nig to come NyJusDntGAF when ever they want
0,,@OG_HARM @moetzart @duckydynamo calculate at this nigra ass nigger shit right here
0,,@OVOtilUOverDose @flossinlawson11 niggers*
0,,@OfficialSkai tell me what to. fuck balls kike nigger tits cocksucker chink spic piss bastard pussy faggot.
0,,@OfficialSkaiS kill yourself ugly ass monkey looking turd
0,,@@ yes I'm white washed because I don't around repping my hood and a bunch of ignorant nig terms.
0,,@Oskzilla fuck you toil!
0,,@Oskzilla fucking you niggah you gay. Lol
0,,@PablyAndrew it was Paul faggot
