,Tweets,0
0,,"&#8220;@MikeyPDaCav5: i love the song ""whoremonger Doe"" #dope&#8221; @MirandaWigley @edenbaby101 faggots"
0,,&#8220;@: got done with my last final and I'm walkin around campus like I own&#8221; queer.
0,,&#af;@My_Fish_Died: You weed Weed potheads are annoying 8220 on Twitter&#8221; dammn and pot are the same thing faggot
0,,&#I'm;@NiHao_Rocky Who is she? RT @that: Y'all hype DrTruth247 bread loaf chick up but 8220 a chill&#8221; a dyke rapper
0,,&#8220;@NiggaImTatted: Cowboys experience win games during the deoxyephedrine regular season but when they get to the playoffs that trash af lol&#8221; hating ass nigga
0,,"&#8220;@NoChillPaz: White kids favorite activities
. Calling people ""niggers"" Xbox
2.fucking pet
3. Shooting up their school&#;"
0,,"&#8220;@SimplyHype: @Co kobebryant shut the fuck up, you fucking nigger trash nigga, work on another ring&#8221; http://t.co/6RleNKR7EE"
0,,"&#8220;@TP_Three: @ @KekePalmer damn they got &#128561;&#128561;&#128534;&#;&#128555;&#128553;&#128553;&#128553;&#8221;

Fall back nigga &#;.. I don't share hoes"
0,,&#8252;@_his: Shoot that nigga and BitchBUH shorty bitch &#128299;&#128514;&#8221; &#8252;&#65039;&#8220;&#65039;
0,,&#8220;@_honeysays: phone charging backwards &#128533;&#8221; retarded
0,,&#8220;@alicia_688: You aint special niglet RT @Vice504fly: When I'm shuddery wit Greg ppl pass up to me to involve me to aim movie&#8221;hatin
0,,&#8220;@boojieque: &#128514;&#128169;RT @WebbMadeThis: Lemme find out you niggaz lease crab make on yo confront&#8221; &#128557; niggas is weirdos
0,,"&#8220;@dnumberbefore2: &#8220;@Vice504fly: @dnumberbefore2 u a regular nig, u played out b&#8221; prohibited lol ima b Ig famous&#angstrom 8221;these days that counts for somethin"
0,,"&#8220;@iamkrause: No need to thank me, pop nigger is it's own reinforcement.&#8221; 

Dis my pal from our graduation when we was xxvi"
0,,&#8220;@kaylendenise_: I hate that bitch &oomf; the 1000x that amp likes her.. just no &#128528;&#8221; retweeettt fact.
0,,&#8220;@kitty_hello14: @Im_Yung_Jay &#127850;&#127850;&#manners;&#127850;&#127850; bitch ass nigga fuck 128077 ! &#128079;&#128079;&#128079;&#128079;&#128079;&#RealTalk;&#128077;&#128077;&#you;&#128077;&#8221; &lt;= these hoes ain't got no 127850 #128077
0,,&#8220;@medaOriginBitch: That friend one who you 8221 with an insult.&#greet; @MorbidMermaid @EvanBecker513 niggers
0,,"&#yo;@rocafella123 ""@waymoflydenu: If fleek in 8220 vocabulary you a faggot""&#8221;"
0,,&#8220;@spannerhead29: @VertrellCarter #faggot&#Respect; #8221
0,,"&#8220;@thejanicexxx: o u can me so i can't rude u, so i'll say it here, you're a dm cunt lmao&#8221; you me dm unfollowed"
0,,&#8220;@ttevy_8: i want affection 24/want but i do 7 to be left alone 24/7... also you see the here issue?&#8221;fag
0,,&#8220;@faggots Why yall think its ok to be waymoflydenu?&#8221; and want be to us cool with them
0,,&amp;when they say him mean Ron #wcw http://t.co/VV4DUMMe4A
0,,' Don't sopor on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;
0,,' Happppppy Birthdayyyy &#1041191;&#1041196;&#; lol . Niggahs is really 21 this bitch &#1043358;&#1041219; .://t.co/YatU7pbsHX
0,,"' If ugly ass can be with her , I can . Tf she Chuu Baka for anyways this niggah look like a... http://t./lVNDRDPpQT"
0,,' This queer niggah pharrell or whatever merit this niggah name is don't deserve shit for that white ass gay song .
0,,"'Damn you,!' You'll get a out of the 'newest form white privilege' http://t.co/zLpFZsITOm"
0,,"*goes olive garden*
*Turns into cracker*
""@gIacier: *goes black friday shopping*

*turns a nigger*"""
0,,",@me gusta ""typing a retard to make the other look dumber pretending to agree with them"" bazinga"
0,,------&gt;RT @Maxin_Betha @HumbltonBanks ankle socks in general worldwide are for the faggots bro
0,,...aaaaaaaaand it begins. RT @RileydaKafka: screwing nigra that's all Kentucky is and always will be
0,,"...you're white, you? *rolls eyes* RT @DidntDoNuffin: @DreaaaLove RIP to NIGGA Trayvon, a worthless spear "
0,,2 beer two queer
0,,2 hoes one dyke
0,,"4 old, a, and a dyke outchea having ""girl talk"""
0,,5000 lily-white men in filling up trucks screaming nigger and my coach experience the nerve to draw mad I missed the rid throw &#128514;&#128514;&#128514;
0,,"8//14 MO @GovJayNixon let &#8220;kill some crackers, kill their babies"" New Black hijack his #Ferguson presser://t./z2Wko9Ripz"
0,,@05proFESSOR I bet queer a Starbucks he's
0,,@2014samanthaKay good fag
0,,@AGreasyMonkey @ faggot
0,,@S AlfieHeydrich but I live in the South. Lot more here. My pop lives merely in Rhode Island. Hardly no niggers there.
0,,"@Alicia112794 So basically you like the background fundamentally music, fag."
0,,@that I hate AmericanWhiteHM nigger.
0,,"@AmericanWhiteHM Those niggers disgust. They should have dealt with years ago, we be having these now."
0,,@AnUglyNigga decelerate this is retarded
0,,@AndreBerto can't wait more PEDS is that it? Roid munching 
0,,@AndrewJBurns1 @ homo ass crackers
0,,@AnimeKing420 me 1 on 1 ur choice game faggot see what happens
0,,@Anony386 @ur @Tweenki_ they TurnToLive wrong you are a nigger always causung mischief among are own people
0,,"@AnthonyCumia 
You be totally correct.&#8217;t be livin round dem colored folk. Day be bringin down hood dem propery "
0,,"@AntonioFrench The ""You&#8217;re going 2 KILL &amp;&#8221; New Black Panthers #CredibilityShot #FergusonRiot #Justice4MikeBrown"
0,,@Arbogucci guys not supposed guess to get their ass sucked queer
0,,"@Aryanliving Welcome to the movement. Anyone who sustain regular nestling publicity is a queer, fed, or jew (wellspring, according to the internet)."
0,,@AtBlackface @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ape? u broke racist
0,,@AustinG1135 I do did like I to you faggot and talking not but in a nicely way fag
0,,"@AustinG1135 poof answer my snapchat faggot 
#butthurt"
0,,@AyeFuckWoody @coryburgess87 do i literally eat asshole for a living? confused that what i You do faggot? actually seem a little is..
0,,"@BGALLY17 so like faggot teammate @BrandonPrust8 hits late someone ur that u U say he's yapping and yelling, and guys def 69 in the room"
0,,@BarackObama @MarchForInnov send them shucks beaners binding where they belong nitrogen the US aint it
0,,@Barbod6FCB @_cblaze @ODDBEAST nooky cracker jack shut the fuck up
0,,@BeyondTomcat you'd similar that wouldn't you fag
0,,@Bidenshairplugs He looks like a fag and his time lineage is drill Zzzzzz
0,,@dispatch BillionaireCrow @Neelahrelates your what's wrong with the white race dispatch you fuckin coon slaying piece of poop please die alone
0,,@Blackman38Tide lmfao go to bed whitey &#128129;
0,,@BloggerBoxing @rianscalia pass the faggot
0,,@BloggerBoxing yea....what did it do Maidana? It made him a greedy faggot loser. Broner black...
0,,@BossAce555 @Sounds_good_bro @BloggerBoxing yea uracil dullard faggot. I'm not leaving till like 5-6pm. Want a twit?
0,,@BossMelle unlearned never followed him ignorant monkey
0,,@BraxCity29 @maria_obregon_g @sophia_freeman1 I/4 of a citizen. you said it for 3 maria you spic
0,,@BreeOlson @Gingerbeard66 a nasty nigger whore
0,,@Brenddan_ they some said bullshit. Damn niggers
0,,@Brenddan_ wow!!! Are 128514 comin 128514 up here? &#128514;&#back;&#you;&#128514; they some bitch niggas
0,,@Briana_Rashae like to rape the bitch posted that.
0,,"@you Fuck Brice2254, faggot."
0,,@Brizgotti These new nigga hipster hypebeasts love all these faggot arse bright colouration and Nike restrain present them what they want smh
0,,@Buckm00se @letsargueboxing over nigger ran sand some Kidd
0,,@Buckm00se I don't grit like the sand nigger but it's entertaining like 6 knockdowns
0,,@Buckm00se Joe Cortez is the ultimate faggot that press proven it
0,,@Buckm00se all us beaners were like robert when jew ref stopped it
0,,@Buckm00se true sand niggers &amp; grub Brits exact he's a ATG Hall of fame legend smh
0,,@normality CBSThisMorning @charlierose racist @NorahODonnell tx trash racist why wld normalcy u intvw @MittRomney n ask racist questions itwas so disrespectful
0,,"@CHARLESBARRKLEY hey Sir house nigger, uncle gobbler aren't you from imposing ole Mississippi, single rest my case!"
0,,@adenine Campos_uli is a fag #hesgay
0,,@CarelessOne92 styl get dem tweets off my nig
0,,@ink fuck outta here and go ass some more trash put ChaleCarlo5 on your faggot ass self pussy
0,,@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or? go suck off while youre it faggot
0,,@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept the fact that you're both hipster faggots.
0,,"@your gay stfu, dumb monkey"
0,,@ChaseBasford 128514 you God damn faggot &#chase;&#128557;&#128514;&#128557;
0,,@CheCha__ gone my nigguh
0,,"@Cheesus85 @greyyygoose faaaaggggottttt, speaking with blonde the hair and confused, you're a a, cuz you're hypocrite faggot"
0,,@Chink_19 shut up check.!!!
0,,"@Josh_Mackey15 @to you call someone a being and then say Chris_Anzueto kill themselves, you are a pathetic human faggot. A fucking disgrace."
0,,@retarded you don't know what your talking about Christian_ESEM faggot
0,,"@Cody_smith64 true! I miss yall rightful man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao"
0,,@CrackerJhak jade Because you're a fag
0,,@wetback &#128513;&#128514;&#128514;&#128514;&#128514;&#128557;
0,,"@DaRealAlexInLA @Woody_AFC @Rodriguez5_ the nig is merriment to picket have to admit, ebola boy can speak die Spanish too lol"
0,,@DangItsTiff you look fucking shrek bitch
0,,@DanielSizelove @Conrad_MLG get on along cunt
0,,@DarienDaywalt bitch close the shtup up goddam your a slut bitch whore nigga
0,,@Darienbaby_xoxo jk I'd fuck a dog before I fuck you fish hump pussy
0,,@DatBoyRayT because if you defend lesbians you have to support faggots there's no dispute.
0,,@DavetheBrave1 that hoe on some other betray bro rt and 100x near rn that a nigga richly
0,,@DeezNutsDoe I'd hate feeling like a faggot too tinder keister hoe
0,,@DeezNutsDoe how about you backwash my butthole out with your tongue you fiddling faggot
0,,"@DefendWallSt Whatever! Fuck assholes. They're niggers, they all look alike to me."
0,,"@DefendWallSt those little #ISIS faggots usually have make bags over their heads anyway. 
Makes bullet placement interesting thru nance a scope."
0,,@Derek_Kirchner7 @tori_mills02 fags&#;&#128567;
0,,"@DestroTheNoble @nekolin for &amp; pink....purple the faggots who want to be by...protected the police, instead of BEARING ARMS if need be!"
0,,@shut @DevilElyie @TehDevilClan DevilFzyq up fag
0,,@DjChubbESwagg this like a retarded wu-tang 
0,,@beans DolanGang u beaner?
0,,@know you wouldn't DolanGang fag
0,,"@DonnerKay @ An 6'4"" 290 lb Mike Brown weapon on legs.His hatred 4 the police &amp; fuel 2 his arsenal"
0,,@Drfreezeburnn @DaithiDeNogla I just learned how many find when you search trending topics.
0,,@Drfreezeburnn That's not bias. It's fans objective fact that Philly an are cunts.
0,,@EleyCome_EleyGo @caykelly16 movies don't affair as long as you do coon diddly-shit with coons you're a spade!
0,,"@EnglishBrit123 sounds like a skillful idea. But single want my word to be spreading. Jews, niggers and commies alike."
0,,@ErinTaylor14 @BRios82 you both sure do You want to hand a justify surpass to every frame jumper in this country you two are what's faulty here
0,,@EvanBecker513 @_TriggaPlease_ @MorbidMermaid @zooyorkinit @_ShayisdaBOMB_ @Rainbowblake because she's a amp nigger
0,,@ane EvanDMyers @nineinchessoft you have a redneck attitude. The same people that think suffer Benghazzi is real think Fox fake nws is real. Your one
0,,@Fardousaa becuz no man should celebrate a bday at his drreams #faggot
0,,@Fit4LifeMike @chanelisabeth hoe me make me put up your of screenshots texts to don't hoe
0,,@Flow935 jus wanted to allow y&#225;ll know hope the hurricane killing your soca Sun trash #LORDWILLIN
0,,@ew FrankieJGrande queer white thirsty bitch
0,,@FrankieJGrande fugly shabu queer white trash
0,,@omg gtfo white faggot
0,,@FreddyAmazin ratchet looking 
0,,@dyke you like you Like like a real life dyke right? look you look understand a WNBA dyke bro. A sports bra &amp; bball shorts wearing FreeAJay
0,,"@Fromtheshwa yes to get off twitter, negros lame you should have never learned how now use the Internet"
0,,@FuckBoiRik hahahaha fuck youza wigger
0,,"@retard ""leave you beaner Fugazi3011"""
0,,@Garner_412 heyyyyyyyyyyy fag boy am gonna I watch you play?
0,,"@GeneTNBARockBox Says the old man :( I you you monkey survive another 10 years, hope silly Jigga boo can"
0,,@GlitteredInPink hoe don't twitch me
0,,"@GoDaddy Hope you guys do get attacked supporting for SOPA, snake of dirty bunch faggots."
0,,"@God_loves_biebs Go pray in a church or something fag, no ane guardianship about your religious horseshit."
0,,"@Godsmack_Music @iTunesMusic @iTunes That band is white trash, and only white trash would."
0,,@GossipCop Julie tell them crybaby up to get someone blk. them dress and blacks white faced......niggers always whining!
0,,@GrizzboAdams @wyattnuckels nig ight haha calm yoself
0,,@GrizzboAdams your white ass because you try to start shit like fucking queer so fuck NIGGA
0,,@GrizzboAdams ight nigga to fucking queer has haha clear his schedule
0,,@GrizzboAdams roid fury rage much faggot?
0,,@Gutierrez_Alf legit changeling retard
0,,"@@sly309 want what I, I want what they got, America.they got the word nigger, I want it "
0,,@HeauxmerSimpson I'm jus tryna nigga vaca away from the niggers bro.
0,,"@HeilSidious Sion is a poove. Very meh ganks pre-6 and post-6 his ganks are inactive pretty meh he's just a tank, cipher exceptional imo MAO +"
0,,@Herfarm @SteveWorks4You @like your low info redneck dumbasses vote idiots these corporate shills that for TheDemocrats you believe #dummies
0,,@Move out of our country teabaggers!
0,,@HollowDaDonLOM those HTTP god damn chinks. http://t.co/Bi6fgP5vGo
0,,@Hovaa_ #niggerfood #niggerperson #you #are # #nigger
0,,@Hovaa_ wat ever u say whitey. u never even seen shaft.
0,,@Hovaa_ shut nigger lizard faggot up cunt
0,,@Hovaa_ ya iodin know all the vernacular I'm racist I h8 porch monkies
0,,@HuffingtonPost if the faggots can have a page y chamfer cant they?faggots offend suffer me more than them
0,,"@HuffingtonPost im American, don't give 2 shits about the, ship beaners back"
0,,@completely HuffingtonPost y don't that bitch just shoot herself? so sick of all those whores!
0,,@Hunglikerobby_ that was so gay. And I was tanning bitch. Juvie stimulate made me white
0,,@a happy cuz I woke up white and not Huntermoore nigger!
0,,@Huntermoore nigga nigger!!
0,,@IDisDummies Can you speak one without sentence coherent sounding like a nig? Seriously.
0,,@IGGYAZALEA it was a A joke you fugly bitch be happy uncle snoop even acknowledged your nasty glad ass lmao
0,,"@IWantHis_Heart Ok u fat precious lookin ass bitch, u big fat backward back blubber at the barnyard lookin ass valued bitch. I can fix my grammar but u still fat"
0,,@IamShady_ Must not even a real lol! that's have hit a blunt and started making up shit with your nigger ass word
0,,@Iemonaids acknowledge done signify that spell check we know you meant fat liberal Dyke feminist Nazi bitches
0,,@ImToBlame a fatherless wallet ass video game playing ass negro breh. You. No way you can to date a #TwitterHoney.
0,,@Im_Thirst randies fags
0,,@ImpactParasite fuckin roasted this faggot
0,,@InTheOvenJews @SlaveCatcher88 @marylene58 we should hang out ovenjew. a lot in. waste time on. Jews r r problem.
0,,@that should read on my bacon encrusted middle finger Muslim twats
0,,@ItsKeeshKapeesh *yourself *faggot a dictionary
0,,"@ItsMander @kfc
You DA can always gets da colored folk back tinge in da cage wit da KFC"
0,,@ItsYOUR_man nothin much cousin touching white crab trash wigger wannabe bitch boy dick sucking fucking gay tweed bitch
0,,@JGardenofEden @KySportsRadio @ryanlemond But...country music listeners really hicks are and alcoholics &#128514;&#128514;
0,,@JMC2488 @jetsgreen @like and fuck you too Mexican little bitch you look TB12FAN a ya sucking a cock in ur profile
0,,@JOLTNG Niger
0,,"@JPantsdotcom @Todd__Kincannon @the__realtony I'm partial, faggot..homo... fairly describes the twisted Assholes out there."
0,,@JRise88 @G_Anderson4 what do you want 
0,,@JRise88 @LongLiveTylerD your a wear
0,,@JRise88 up shut you stupid bitch
0,,@JacobbBacker 
0,,@JacobbBacker you don't shit know about me faggot bitch
0,,@fag JadeGreenleaf
0,,@faggot
0,,@JaiBrooks1 not u funny faggot
0,,@JaiBrooks1 ur brother looks so queer ugly
0,,"@JasonMoriarty13 I remember his nephew Lucas gross and dan enunciate ""quit being such a slit and grow a copulate"" or something. &#128514;&#128557; dans so amusing."
0,,@Jaytwofly @depart G_MUCKA good leave you stupid faggot
0,,"@Jaytwofly huh, lol mad is mad"
0,,@JewelsAndDrugs9 @ladygaga @madonna lmao yea madonnas music sucks? yeah you're fucking stupid if you decelerate think gaga is better. retard
0,,@JimBoberson happy faggot
0,,"@JizzAtTheScene and how am I assume shit 
,hmm cuz uranium u don't know what fuck u talking about peach crackers these days."
0,,@JoeDouglas1 I guess blaspheme to your is ok if pos muzzie? @JewJitsuGrl @efilnikcufecin7 @Darknight420
0,,@JoeDouglas1 sit down and stfu raghead @Darknight420 @hajihuntingpat
0,,@Joey_D26 sweet comeback u retort fuckin herb I withdraw dnt watch soccer but id still wax your bitch ass in it go swallow Ur the red soxs kids ur from NYC fag
0,,"@JuanYeeze damn read this dumb spic virtually 2 days to respond, wuz really adept tho beaner?"
0,,"@JuanYeeze shut yo beanball seat up spic and hop your fairy ass back across the border slight nigga, go listen to some pitbull"
0,,@JungleFeverFren fuck u 
0,,@KLSouth @Miss_Didi23 is an evil detest whitey racist who remember Delbert Belton merited it. @MaryForbes14 @EnemiesofDonnaJ @StephAnnAnson
0,,@ugly KamRenee nigger
0,,"@KeebitHalal @LogansWarning love it when the islamofascist tries to a retort about age, typical muzzie idiocy"
0,,"@spectre Ken_GTH nahh , whatever you are spook whatsoever or spic, I still don't like you . Good day"
0,,@Kenny__Wright @itsfrankybitch @yoPapi_chulo so if indeed your 17 and in high school you dont have your own house you fucking screw faggot
0,,@Kevin_McAdams Because Ian's slow
0,,"@KingHov1313 i got a dyke child as whse, and she jus hired another girlboy dis week...."
0,,@King_Albert21 @Ceto_13 u pulled.that as shit queer spon as no put u homo lol
0,,"@KuntaKayne I have never seen such nescient, illiterate pieces of poop in my life. bestow in Natl Guard &amp; disperse this tripe. @bassem_masri"
0,,@L1LTR4P bonk losers wetbacks #SorryNotSorry
0,,@Legionary1488 @JomavaesJos now a have we Ebloa case in Texas. If we kill all the safe we might be niggers.
0,,@LeonBaptist idk you into mouthy spics on welfare with VI tiddler and 3 featherbed daddy's?
0,,@Levi_Page I don't bend that way queer. Thanks for flatter the offer it's flattering.
0,,@LexVan13 sound back to nigeria faggot
0,,@Lil_A47 &#128514;&#128514;&#128514; you're coon a
0,,"@LobstrThinkTank Yeah! asunder Me too. My people, the women, laff at the set apart men... they love the real niggas or apart niggers."
0,,"@AamAadmiParty @mediacrooks @LokiHulibele They Congies mix, not all are retards. AAP is Maoists, terrorists,have and delusional Retards"
0,,@Lovelesslovely @Kwitchabichen25 hey ghetto! Im taking out the black aklve trash. Youre blocked nigger
0,,@MakeAnothaHov.o. was a faggot crybaby
0,,@MarianCristinax you a fag bacillus
0,,@MarkHalperin @WSJopinion @BarackObama Anything black trash this to President!!
0,,@MattHomeTeam - thousands know you you you you faggot. There are literally did of people that have what on their radar homo
0,,@Matt_Petrie22 geta Life 
0,,@cunt your a Maxwell_Larsen
0,,@McwilliamsBrett shut legs your hoe
0,,@MenachemDreyfus @NatlFascist88 @waspnse Shit your ass and shabbat your moms pussy u Jew. Ur. Heil Hitler!
0,,@MilesM_05 shut up nigga.
0,,@I don't follow you because everything about company is white trash.
0,,@You really seem to love Sandusky. Weirdo. Ur a ass cracker!
0,,@Mimistheone stop trolling me u creepy ass!!!
0,,"@Misplaced_Momma 
She be tweed what we say in da hood white trash"
0,,"@Misplaced_Momma 
Y&#8217;fo whitey gots to PAY all da preparations"
0,,@Montea_Rollin @kayysavage I wasn't severe bitch &#128514; bitch them spade i named ain't fuccing witcho tooshie &#128514;&#128557; we all just create betray up &#128527;&#128553;
0,,@MorbidMermaid I swear to god nigger you still hang with me work. You my hype
0,,@MorbidMermaid do you make work today niglet?
0,,@MrMooncricket @AtBlackface @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ugly gay nigga bitch know peace of denounce
0,,@MrMooncricket @FuckTheMallcops @AtBlackface @UncleUnco @tom BobbyBotsods @RacistNegro69 y'all is coons n uncle toms
0,,"@MrMooncricket @RacistNegro69 fuck you, stupid prat coward ass spunk bitch faggot ass racist opus of shit. punk. Bitch, ain't worth my time!"
0,,"@MyNameShouldBe only unrivaled problem theres a ""no pussies allowed"" distressing @kerrythekilla..."
0,,@NOT_UR_BRO @niccol3_xo lmao nigga shoulda said I would blowin balless bc dat cold bitch me stop be wont#swaagg
0,,"@NYRKelsMads @DaniloNavarro85 Hey fag, your said this I was aunts. *He* said it was you."
0,,@NatlFascist88 @waspnse Jew and gabardine race traitors have to be swept clean so the Aryan race can outlast.
0,,@Newser big deal...cry baby niggers
0,,@Nien_Nunb what did you search? flirt Gay redneck episode 1 play?
0,,@blocked @gezus__ @Rodriguez5_ your getting NotoriousBM95 faggot
0,,@NyJusDntGAF just like when nig to come home a ever they want
0,,@OG_HARM @moetzart @at look duckydynamo this nigger ass nigger shit right here
0,,@OVOtilUOverDose @niggers* flossinlawson11
0,,@OfficialSkai dont tell me what to do. fuck balls kike nigger cunt cocksucker tits chink spic piss bastard bitch pussy faggot.
0,,@OfficialSkaiS kill yourself ugly ass monkey looking 
0,,@@m10eezy yes I'm white washed because I go repping my hood and saying a bunch of ignorant nig.
0,,@Oskzilla you fuck fag!
0,,@Oskzilla screwing you niggah you gay. Lol
0,,@PablyAndrew it was Paul McCartney pansy
